room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude,rooms_per_host,population,city_size,log_price
Private room,Turnhout,Turnhout,15,4.5,3,1,35,51.3222,4.951641,1,39654,small,3.5553480614894135
Private room,Antwerpen,Antwerpen,14,5,2,1,35,51.22155,4.42015,1,459805,large,3.5553480614894135
Private room,Antwerpen,Essen,0,NA,2,1,25,51.460389,4.453503,1,459805,large,3.2188758248682006
Private room,Leuven,Kortenberg,19,5,2,1,32,50.902021,4.544916,1,92892,small,3.4657359027997265
Private room,Antwerpen,Schilde,3,4,4,1,39,51.289429,4.610289,2,459805,large,3.6635616461296463
Private room,Antwerpen,Antwerpen,19,5,2,1,33,51.216154,4.431291,2,459805,large,3.4965075614664802
Private room,Turnhout,Mol,14,5,2,1,32,51.210181,5.175841,3,39654,small,3.4657359027997265
Private room,Antwerpen,Antwerpen,2,NA,1,1,30,51.227216,4.421955,2,459805,large,3.4011973816621555
Private room,Brussel,Brussel,0,NA,2,1,27,50.86632,4.358895,1,1019022,large,3.295836866004329
Private room,Mechelen,Willebroek,0,NA,2,0,41,51.08445,4.38624,5,77530,small,3.713572066704308
Private room,Antwerpen,Antwerpen,0,NA,1,1,35,51.193469,4.408848,2,459805,large,3.5553480614894135
Private room,Leuven,Leuven,14,4.5,1,1,23,50.868732,4.701008,2,92892,small,3.1354942159291497
Private room,Mechelen,Berlaar,1,NA,3,0,41,51.114547,4.638259,1,77530,small,3.713572066704308
Private room,Antwerpen,Antwerpen,67,5,2,1,41,51.223426,4.40554,2,459805,large,3.713572066704308
Private room,Leuven,Leuven,0,NA,1,1,33,50.875979,4.706918,6,92892,small,3.4965075614664802
Private room,Halle-Vilvoorde,Zaventem,2,NA,4,1,28,50.864694,4.435979,2,NA,NA,3.332204510175204
Private room,Brussel,Schaarbeek,1,NA,2,1,32,50.87358,4.383729,3,1019022,large,3.4657359027997265
Private room,Antwerpen,Antwerpen,6,5,2,1,35,51.21212,4.42121,1,459805,large,3.5553480614894135
Private room,Antwerpen,Antwerpen,5,5,2,1,35,51.286178,4.419656,1,459805,large,3.5553480614894135
Private room,Antwerpen,Antwerpen,0,NA,1,0,23,51.21985,4.427703,5,459805,large,3.1354942159291497
Private room,Brussel,Schaarbeek,3,5,2,1,23,50.866247,4.371425,1,1019022,large,3.1354942159291497
Private room,Antwerpen,Antwerpen,0,NA,2,1,41,51.231243,4.379456,1,459805,large,3.713572066704308
Private room,Antwerpen,Antwerpen,33,5,2,1,30,51.217209,4.41932,1,459805,large,3.4011973816621555
Private room,Antwerpen,Antwerpen,130,4.5,2,1,39,51.222657,4.435018,1,459805,large,3.6635616461296463
Private room,Antwerpen,Antwerpen,0,NA,1,1,36,51.211579,4.405572,1,459805,large,3.58351893845611
Private room,Antwerpen,Hove,11,5,2,1,41,51.161539,4.473574,1,459805,large,3.713572066704308
Private room,Leuven,Leuven,2,NA,2,1,30,50.874072,4.709868,1,92892,small,3.4011973816621555
